DHRA/DSS has determined that this application does not contain FOUO, CUI, or PII data.;;;;;;;;;;
;;;;;;;;;;
U.S. ACTIVE DUTY MILITARY DEATHS BY YEAR AND MANNER;;;;;;;;;;
1980 - Present (As of May 4, 2026);;;;;;;;;;
Calendar;Total;Accident;Hostile;Homicide;Illness;Pending;Self;Undetermined;;
Year;Deaths;;Action;;;;Inflicted;;;
;;;;;;;;;;
1980;2392;1556;0;174;419;0;231;11;2391;1
1981;2380;1524;0;145;457;0;241;13;2380;0
1982;2319;1493;0;108;446;0;254;16;2317;2
1983;2465;1413;18;115;419;0;218;19;2202;263
1984;1999;1293;1;84;374;0;225;16;1993;6
1985;2252;1476;0;111;363;0;275;22;2247;5
1986;1984;1199;2;103;384;0;269;27;1984;0
1987;1983;1172;37;104;383;0;260;25;1981;2
1988;1819;1080;0;90;321;0;285;26;1802;17
1989;1636;1000;23;58;294;0;224;37;1636;0
1990;1507;880;0;74;277;0;232;43;1506;1
1991;1787;931;147;112;308;0;256;33;1787;0
1992;1293;676;0;109;252;0;238;17;1292;1
1993;1213;632;0;86;221;0;236;9;1184;29
1994;1075;544;0;83;206;0;232;10;1075;0
1995;1040;538;0;67;174;0;250;4;1033;7
1996;974;527;1;52;173;0;188;14;955;19
1997;817;433;0;42;170;0;159;13;817;0
1998;827;445;0;26;174;0;165;14;824;3
1999;796;439;0;38;154;0;150;15;796;0
2000;832;429;0;37;180;0;153;16;815;17
2001;943;461;12;49;197;0;153;25;897;46
2002;1051;565;17;54;213;0;174;28;1051;0
2003;1399;597;312;46;231;1;190;22;1399;0
2004;1847;605;735;46;256;0;197;8;1847;0
2005;1929;646;739;54;280;1;182;27;1929;0
2006;1883;565;769;49;260;1;213;26;1883;0
2007;1952;566;847;52;237;2;216;32;1952;0
2008;1442;510;353;48;246;0;260;25;1442;0
2009;1516;471;358;65;283;2;309;28;1516;0
2010;1490;429;456;41;247;1;297;19;1490;0
2011;1450;428;395;40;252;2;299;34;1450;0
2012;1309;408;239;46;246;3;347;20;1309;0
2013;1034;369;91;40;215;2;293;24;1034;0
2014;880;306;38;27;195;1;303;10;880;0
2015;869;321;16;23;196;1;294;18;869;0
2016;814;279;16;29;174;2;307;7;814;0
2017;907;340;21;29;174;3;318;22;907;0
2018;921;311;14;33;175;3;365;20;921;0
2019;896;284;23;32;155;5;378;19;896;0
2020;1024;327;9;38;195;9;432;14;1024;0
2021;1016;334;13;32;246;4;363;24;1016;0
2022;845;280;0;33;149;11;349;23;845;0
2023;939;327;0;26;161;9;390;26;939;0
2024;836;261;3;26;165;28;330;23;836;0
2025;828;224;2;22;158;69;322;31;828;0
2026;244;49;7;4;27;104;49;4;244;0
;63654;29943;5714;2802;11482;264;12071;959;63235;419
