year,prospective conscutive term for incumbent party,prospective 1st/2nd term for incumbent party candidate,incumbent party,popular vote for incumbent party,popular vote for non-incumbent party,winner party,winner president,loser
2024,1,1,Democratic,48.34,49.81,Republican,Donald Trump,Kamala Harris
2020,1,1,Republican,46.86,51.31,Democratic,Joe Biden,Donald Trump
2016,3,1,Democratic,48.2,46.2,Republican,Donald Trump,Hillary Clinton
2012,2,2,Democratic,51.1,47.2,Democratic,Barack Obama,Mitt Romney
2008,3,1,Republican,45.7,52.9,Democratic,Barack Obama,John McCain
2004,2,2,Republican,50.7,48.3,Republican,George W. Bush,John Kerry
2000,3,1,Democratic,48.4,47.9,Republican,George W. Bush,Al Gore
1996,2,2,Democratic,49.2,40.7,Democratic,Bill Clinton,Bob Dole
1992,4,2,Republican,37.4,43,Democratic,Bill Clinton,George H. W. Bush
1988,3,1,Republican,53.6,45.6,Republican,George H. W. Bush,Michael Dukakis
1984,2,2,Republican,58.8,40.6,Republican,Ronald Reagan,Walter Mondale
1980,2,2,Democratic,41,50.7,Republican,Ronald Reagan,Jimmy Carter
1976,3,1,Republican,48,50.1,Democratic,Jimmy Carter,Gerald R. Ford
1972,2,1,Republican,60.7,37.5,Republican,Richard Nixon,George McGovern
1968,3,1,Democratic,42.7,43.4,Republican,Richard Nixon,Hubert Humphrey
1964,2,1,Democratic,61.1,38.5,Democratic,Lyndon B. Johnson,Barry Goldwater
1960,3,1,Republican,49.5,49.7,Democratic,John F. Kennedy,Richard Nixon
