"In general, are you satisfied or dissatisfied with the way things are going in [your personal life/the United States] at this time? <br><b>% Satisfied</b>",Personal life,United States
1/2/2025,81,20
1/2/2024,78,20
1/2/2023,83,23
1/3/2022,85,17
1/4/2021,82,11
1/2/2020,90,41
1/2/2019,86,26
1/4/2017,87,26
1/6/2016,85,23
1/5/2015,85,32
12/5/2013,79,23
11/28/2011,78,14
12/4/2008,80,10
12/6/2007,84,27
12/11/2006,84,30
12/5/2005,85,35
12/5/2004,84,45
12/11/2003,88,50
1/13/2003,85,42
12/5/2002,83,46
1/7/2002,85,65
12/6/2001,84,70
1/10/2001,85,56
10/6/2000,87,62
12/28/1998,86,50
3/8/1996,86,41
12/4/1993,82,34
2/28/1992,79,21
1/3/1992,77,24
10/31/1991,79,35
10/10/1991,81,39
8/23/1991,82,49
7/11/1991,82,43
2/28/1991,87,66
2/14/1991,84,54
1/17/1991,86,62
1/3/1991,84,32
12/13/1990,82,33
11/1/1990,85,32
10/25/1990,87,31
10/11/1990,82,29
9/27/1990,85,37
8/30/1990,86,51
8/9/1990,85,43
7/19/1990,81,45
2/8/1990,83,55
9/25/1988,87,56
5/13/1988,86,41
8/24/1987,83,45
9/3/1986,84,58
3/7/1986,84,66
11/11/1985,82,51
12/7/1984,79,52
2/10/1984,79,50
8/5/1983,77,35
11/5/1982,75,24
4/2/1982,76,25
12/11/1981,81,27
6/5/1981,81,33
1/9/1981,81,17
11/2/1979,79,19
7/13/1979,73,12
2/2/1979,77,26
