predictor,bart_all_inclusion,bart_PC2_econ_inclusion,bart_PC3_econ_inclusion,bart_raw_econ_inclusion,bart_well_us_inclusion,bart_well_inclusion
econ_PC1,,75.512,60.358,,,
econ_PC2,,76.701,60.336,,,
econ_PC3,,,61.617,,,
gini,33.635,,,43.059,,
gdp,33.999,,,44.566,,
unemployment,33.511,,,43.241,,
inflation,33.108,,,42.886,,
wage,33.46,,,43.755,,
pers,33.6,,,,74.742,101.028
us,34.023,,,,76.105,
prospective conscutive term for incumbent party,33.665,75.517,60.321,43.174,75.914,101.056
prospective 1st/2nd term for incumbent party candidate,33.209,75.051,59.805,42.324,75.292,100.464
